distribution,100,200,300,400,500,600,700,800,900,1000
norm,1752.64,1767.58,1762.56,1760.57,1768.78,1762.91,1756.36,1751.67,1757.5,1765.91

uni,1766.47,1765.09,1753.49,1757.26,1756.42,1752.01,1751.29,1760.69,1769.24,1750.31

expo,1966.07,1959.75,1948.35,1956.23,1944.67,1947.64,1951.83,1946.66,1940.56,1942.15
